Tipo,Clave,Número de Documento,Código Cliente,Folio,Fecha de Documento,Último día mes Documento,Fecha de Vencimiento,Monto Documento,Número de Pago_SAP,Fecha de Pago,Monto Pago,Número de Pago,Importe Acumulado de Pagos,Importe Acumulado al Saldo
Factura,VENTA,F10039,C004,FOL-10039,2020-07-03,2020-07-28,2020-08-02,18214,P10039,2020-08-18,18214,P10039,18214,0
Factura,VENTA,F10040,C004,FOL-10040,2020-08-04,2020-08-28,2020-09-03,22355,P10040,2020-09-12,22355,P10040,22355,0
Factura,VENTA,F10041,C004,FOL-10041,2020-08-30,2020-08-28,2020-09-29,16123,P10041,,0,P10041,0,16123
Factura,VENTA,F10042,C004,FOL-10042,2020-10-06,2020-10-28,2020-11-05,15540,P10042,2020-10-31,15540,P10042,15540,0
Factura,VENTA,F10043,C004,FOL-10043,2020-10-29,2020-10-28,2020-11-28,9929,P10043,2021-01-04,9929,P10043,9929,0
Factura,VENTA,F10044,C004,FOL-10044,2020-11-28,2020-11-28,2020-12-28,24847,P10044,,0,P10044,0,24847
Factura,VENTA,F10045,C004,FOL-10045,2021-01-04,2021-01-28,2021-02-03,12335,P10045,2021-02-16,12335,P10045,12335,0
Factura,VENTA,F10046,C004,FOL-10046,2021-02-02,2021-02-28,2021-03-04,15962,P10046,2021-03-24,15962,P10046,15962,0
Factura,VENTA,F10047,C004,FOL-10047,2021-03-03,2021-03-28,2021-04-02,14239,P10047,,0,P10047,0,14239
Factura,VENTA,F10048,C005,FOL-10048,2021-06-28,2021-06-28,2021-07-28,23303,P10048,2021-07-24,23303,P10048,23303,0
Factura,VENTA,F10049,C005,FOL-10049,2021-07-23,2021-07-28,2021-08-22,9986,P10049,2021-08-27,9986,P10049,9986,0
Factura,VENTA,F10050,C005,FOL-10050,2021-08-22,2021-08-28,2021-09-21,16147,P10050,,0,P10050,0,16147
Factura,VENTA,F10051,C005,FOL-10051,2021-09-26,2021-09-28,2021-10-26,14012,P10051,2021-10-28,14012,P10051,14012,0
Factura,VENTA,F10052,C005,FOL-10052,2021-10-21,2021-10-28,2021-11-20,22520,P10052,2021-12-02,22520,P10052,22520,0
Factura,VENTA,F10053,C005,FOL-10053,2021-11-20,2021-11-28,2021-12-20,9657,P10053,2022-01-01,9657,P10053,9657,0
Factura,VENTA,F10054,C005,FOL-10054,2021-12-19,2021-12-28,2022-01-18,11056,P10054,2022-01-20,11056,P10054,11056,0
Factura,VENTA,F10055,C005,FOL-10055,2022-01-20,2022-01-28,2022-02-19,21317,P10055,2022-02-20,21317,P10055,21317,0
Factura,VENTA,F10056,C005,FOL-10056,2022-02-23,2022-02-28,2022-03-25,9921,P10056,2022-04-29,9921,P10056,9921,0
Factura,VENTA,F10057,C005,FOL-10057,2022-03-23,2022-03-28,2022-04-22,22909,P10057,2022-05-09,22909,P10057,22909,0
Factura,VENTA,F10058,C005,FOL-10058,2022-04-26,2022-04-28,2022-05-26,23947,P10058,,0,P10058,0,23947
Factura,VENTA,F10059,C005,FOL-10059,2022-05-18,2022-05-28,2022-06-17,9997,P10059,2022-06-13,9997,P10059,9997,0
Factura,VENTA,F10060,C006,FOL-10060,2025-09-05,2025-09-28,2025-10-05,24477,P10060,2025-10-16,24477,P10060,24477,0
Factura,VENTA,F10061,C006,FOL-10061,2025-09-30,2025-09-28,2025-10-30,9863,P10061,2025-10-27,9863,P10061,9863,0
Factura,VENTA,F10062,C006,FOL-10062,2025-10-30,2025-10-28,2025-11-29,10245,P10062,2025-12-15,10245,P10062,10245,0
Factura,VENTA,F10063,C006,FOL-10063,2025-11-30,2025-11-28,2025-12-30,21230,P10063,,0,P10063,0,21230
Factura,VENTA,F10064,C006,FOL-10064,2025-12-27,2025-12-28,2026-01-26,10686,P10064,2026-02-08,10686,P10064,10686,0
Factura,VENTA,F10065,C006,FOL-10065,2026-02-03,2026-02-28,2026-03-05,18366,P10065,2026-03-06,18366,P10065,18366,0
Factura,VENTA,F10066,C006,FOL-10066,2026-03-02,2026-03-28,2026-04-01,15821,P10066,2026-03-31,15821,P10066,15821,0
Factura,VENTA,F10067,C006,FOL-10067,2026-03-31,2026-03-28,2026-04-30,22982,P10067,2026-05-19,22982,P10067,22982,0
Factura,VENTA,F10068,C006,FOL-10068,2026-04-27,2026-04-28,2026-05-27,8305,P10068,2026-06-09,8305,P10068,8305,0
Factura,VENTA,F10069,C006,FOL-10069,2026-05-27,2026-05-28,2026-06-26,10400,P10069,2026-07-07,10400,P10069,10400,0
Factura,VENTA,F10070,C007,FOL-10070,2024-10-01,2024-10-28,2024-10-31,10254,P10070,2024-11-06,10254,P10070,10254,0
Factura,VENTA,F10071,C007,FOL-10071,2024-10-30,2024-10-28,2024-11-29,13169,P10071,2024-12-11,13169,P10071,13169,0
Factura,VENTA,F10072,C007,FOL-10072,2024-11-29,2024-11-28,2024-12-29,8256,P10072,2025-01-10,8256,P10072,8256,0
Factura,VENTA,F10073,C007,FOL-10073,2024-12-29,2024-12-28,2025-01-28,11394,P10073,2025-01-27,11394,P10073,11394,0
Factura,VENTA,F10074,C007,FOL-10074,2025-01-28,2025-01-28,2025-02-27,11782,P10074,2025-03-17,11782,P10074,11782,0
Factura,VENTA,F10075,C007,FOL-10075,2025-03-03,2025-03-28,2025-04-02,13093,P10075,2025-04-16,13093,P10075,13093,0
Factura,VENTA,F10076,C007,FOL-10076,2025-03-28,2025-03-28,2025-04-27,19235,P10076,2025-07-11,19235,P10076,19235,0
Factura,VENTA,F10077,C007,FOL-10077,2025-05-02,2025-05-28,2025-06-01,24008,P10077,2025-05-28,24008,P10077,24008,0
Factura,VENTA,F10078,C007,FOL-10078,2025-05-25,2025-05-28,2025-06-24,21879,P10078,2025-06-20,21879,P10078,21879,0
Factura,VENTA,F10079,C007,FOL-10079,2025-06-23,2025-06-28,2025-07-23,18929,P10079,2025-08-07,18929,P10079,18929,0
Factura,VENTA,F10080,C007,FOL-10080,2025-07-27,2025-07-28,2025-08-26,13294,P10080,2025-09-07,13294,P10080,13294,0
Factura,VENTA,F10081,C007,FOL-10081,2025-08-28,2025-08-28,2025-09-27,8316,P10081,2025-12-15,8316,P10081,8316,0
Factura,VENTA,F10082,C008,FOL-10082,2020-02-08,2020-02-28,2020-03-09,20098,P10082,2020-03-08,20098,P10082,20098,0
Factura,VENTA,F10083,C008,FOL-10083,2020-03-15,2020-03-28,2020-04-14,12176,P10083,2020-06-11,12176,P10083,12176,0
Factura,VENTA,F10084,C008,FOL-10084,2020-04-08,2020-04-28,2020-05-08,19724,P10084,2020-06-27,19724,P10084,19724,0
Factura,VENTA,F10085,C008,FOL-10085,2020-05-13,2020-05-28,2020-06-12,21316,P10085,2020-06-30,21316,P10085,21316,0
Factura,VENTA,F10086,C008,FOL-10086,2020-06-09,2020-06-28,2020-07-09,15757,P10086,2020-07-29,15757,P10086,15757,0
Factura,VENTA,F10087,C008,FOL-10087,2020-07-09,2020-07-28,2020-08-08,21510,P10087,2020-10-29,21510,P10087,21510,0
Factura,VENTA,F10088,C008,FOL-10088,2020-08-12,2020-08-28,2020-09-11,16131,P10088,2020-10-01,16131,P10088,16131,0
Factura,VENTA,F10089,C008,FOL-10089,2020-09-06,2020-09-28,2020-10-06,20535,P10089,2020-10-16,20535,P10089,20535,0
Factura,VENTA,F10090,C008,FOL-10090,2020-10-08,2020-10-28,2020-11-07,14539,P10090,2020-11-16,14539,P10090,14539,0
Factura,VENTA,F10091,C008,FOL-10091,2020-11-09,2020-11-28,2020-12-09,18000,P10091,2020-12-11,18000,P10091,18000,0
Factura,VENTA,F10092,C008,FOL-10092,2020-12-07,2020-12-28,2021-01-06,8775,P10092,2021-01-13,8775,P10092,8775,0
Factura,VENTA,F10093,C008,FOL-10093,2021-01-08,2021-01-28,2021-02-07,17129,P10093,2021-02-26,17129,P10093,17129,0
Factura,VENTA,F10094,C009,FOL-10094,2023-02-08,2023-02-28,2023-03-10,6055,P10094,2023-03-26,6055,P10094,6055,0
Factura,VENTA,F10095,C009,FOL-10095,2023-03-13,2023-03-28,2023-04-12,3512,P10095,2023-04-10,3512,P10095,3512,0
Factura,VENTA,F10096,C009,FOL-10096,2023-04-08,2023-04-28,2023-05-08,2262,P10096,2023-05-11,2262,P10096,2262,0
Factura,VENTA,F10097,C009,FOL-10097,2023-05-04,2023-05-28,2023-06-03,1688,P10097,2023-06-09,1688,P10097,1688,0
Factura,VENTA,F10098,C009,FOL-10098,2023-06-08,2023-06-28,2023-07-08,4374,P10098,2023-07-19,4374,P10098,4374,0
Factura,VENTA,F10099,C009,FOL-10099,2023-07-04,2023-07-28,2023-08-03,3955,P10099,2023-08-04,3955,P10099,3955,0
Factura,VENTA,F10100,C009,FOL-10100,2023-08-06,2023-08-28,2023-09-05,1163,P10100,2023-08-31,1163,P10100,1163,0
Factura,VENTA,F10101,C009,FOL-10101,2023-09-09,2023-09-28,2023-10-09,5210,P10101,2023-10-27,5210,P10101,5210,0
Factura,VENTA,F10102,C009,FOL-10102,2023-10-04,2023-10-28,2023-11-03,3783,P10102,2023-11-19,3783,P10102,3783,0
Factura,VENTA,F10103,C009,FOL-10103,2023-11-05,2023-11-28,2023-12-05,5904,P10103,2023-12-03,5904,P10103,5904,0
Factura,VENTA,F10104,C009,FOL-10104,2023-12-04,2023-12-28,2024-01-03,4954,P10104,2024-01-11,4954,P10104,4954,0
Factura,VENTA,F10105,C009,FOL-10105,2024-01-04,2024-01-28,2024-02-03,4096,P10105,2024-02-15,4096,P10105,4096,0
Factura,VENTA,F10106,C010,FOL-10106,2024-10-20,2024-10-28,2024-11-19,4244,P10106,2024-11-26,4244,P10106,4244,0
Factura,VENTA,F10107,C010,FOL-10107,2024-11-18,2024-11-28,2024-12-18,5842,P10107,2024-12-25,5842,P10107,5842,0
Factura,VENTA,F10108,C010,FOL-10108,2024-12-24,2024-12-28,2025-01-23,803,P10108,2025-01-24,803,P10108,803,0
Factura,VENTA,F10109,C010,FOL-10109,2025-01-21,2025-01-28,2025-02-20,5551,P10109,2025-02-25,5551,P10109,5551,0
Factura,VENTA,F10110,C010,FOL-10110,2025-02-21,2025-02-28,2025-03-23,4419,P10110,2025-03-24,4419,P10110,4419,0
Factura,VENTA,F10111,C010,FOL-10111,2025-03-24,2025-03-28,2025-04-23,4676,P10111,2025-05-13,4676,P10111,4676,0
Factura,VENTA,F10112,C010,FOL-10112,2025-04-17,2025-04-28,2025-05-17,6197,P10112,2025-07-23,6197,P10112,6197,0
Factura,VENTA,F10113,C010,FOL-10113,2025-05-20,2025-05-28,2025-06-19,1565,P10113,2025-07-08,1565,P10113,1565,0
Factura,VENTA,F10114,C010,FOL-10114,2025-06-17,2025-06-28,2025-07-17,6311,P10114,2025-08-06,6311,P10114,6311,0
Factura,VENTA,F10115,C010,FOL-10115,2025-07-17,2025-07-28,2025-08-16,2007,P10115,2025-10-05,2007,P10115,2007,0
Factura,VENTA,F10116,C010,FOL-10116,2025-08-14,2025-08-28,2025-09-13,4530,P10116,2025-09-28,4530,P10116,4530,0
Factura,VENTA,F10117,C010,FOL-10117,2025-09-15,2025-09-28,2025-10-15,6684,P10117,2025-10-25,6684,P10117,6684,0
Factura,VENTA,F10118,C011,FOL-10118,2021-10-01,2021-10-28,2021-10-31,2008,P10118,2021-10-26,2008,P10118,2008,0
Factura,VENTA,F10119,C011,FOL-10119,2021-10-29,2021-10-28,2021-11-28,4282,P10119,2021-12-18,4282,P10119,4282,0
Factura,VENTA,F10120,C011,FOL-10120,2021-12-05,2021-12-28,2022-01-04,4605,P10120,2022-02-23,4605,P10120,4605,0
Factura,VENTA,F10121,C011,FOL-10121,2021-12-28,2021-12-28,2022-01-27,4539,P10121,2022-02-05,4539,P10121,4539,0
Factura,VENTA,F10122,C011,FOL-10122,2022-02-03,2022-02-28,2022-03-05,5378,P10122,2022-03-24,5378,P10122,5378,0
Factura,VENTA,F10123,C011,FOL-10123,2022-03-04,2022-03-28,2022-04-03,5818,P10123,2022-04-14,5818,P10123,5818,0
Factura,VENTA,F10124,C011,FOL-10124,2022-04-02,2022-04-28,2022-05-02,5288,P10124,2022-05-02,5288,P10124,5288,0
Factura,VENTA,F10125,C011,FOL-10125,2022-05-03,2022-05-28,2022-06-02,4486,P10125,2022-06-04,4486,P10125,4486,0
Factura,VENTA,F10126,C011,FOL-10126,2022-05-30,2022-05-28,2022-06-29,5070,P10126,2022-07-01,5070,P10126,5070,0
Factura,VENTA,F10127,C011,FOL-10127,2022-06-29,2022-06-28,2022-07-29,4403,P10127,,0,P10127,0,4403
Factura,VENTA,F10128,C011,FOL-10128,2022-07-30,2022-07-28,2022-08-29,3419,P10128,2022-08-26,3419,P10128,3419,0
Factura,VENTA,F10129,C011,FOL-10129,2022-08-26,2022-08-28,2022-09-25,2035,P10129,2022-10-12,2035,P10129,2035,0
Factura,VENTA,F10130,C012,FOL-10130,2024-07-08,2024-07-28,2024-08-07,1326,P10130,2024-08-12,1326,P10130,1326,0
Factura,VENTA,F10131,C012,FOL-10131,2024-08-12,2024-08-28,2024-09-11,4616,P10131,2024-09-12,4616,P10131,4616,0
Factura,VENTA,F10132,C012,FOL-10132,2024-09-09,2024-09-28,2024-10-09,3990,P10132,2024-10-22,3990,P10132,3990,0
Factura,VENTA,F10133,C012,FOL-10133,2024-10-03,2024-10-28,2024-11-02,5516,P10133,2024-10-28,5516,P10133,5516,0
Factura,VENTA,F10134,C012,FOL-10134,2024-11-07,2024-11-28,2024-12-07,3246,P10134,2024-12-15,3246,P10134,3246,0
Factura,VENTA,F10135,C012,FOL-10135,2024-12-10,2024-12-28,2025-01-09,6923,P10135,2025-01-29,6923,P10135,6923,0
Factura,VENTA,F10136,C012,FOL-10136,2025-01-04,2025-01-28,2025-02-03,4799,P10136,2025-02-11,4799,P10136,4799,0
Factura,VENTA,F10137,C012,FOL-10137,2025-02-07,2025-02-28,2025-03-09,1037,P10137,2025-03-25,1037,P10137,1037,0
Factura,VENTA,F10138,C012,FOL-10138,2025-03-08,2025-03-28,2025-04-07,6732,P10138,2025-04-16,6732,P10138,6732,0
Factura,VENTA,F10139,C012,FOL-10139,2025-04-03,2025-04-28,2025-05-03,5897,P10139,2025-05-10,5897,P10139,5897,0
Factura,VENTA,F10140,C012,FOL-10140,2025-05-01,2025-05-28,2025-05-31,1487,P10140,2025-05-30,1487,P10140,1487,0
Factura,VENTA,F10141,C012,FOL-10141,2025-06-07,2025-06-28,2025-07-07,2288,P10141,,0,P10141,0,2288
Factura,VENTA,F10142,C013,FOL-10142,2021-02-19,2021-02-28,2021-03-21,3564,P10142,2021-03-28,3564,P10142,3564,0
Factura,VENTA,F10143,C013,FOL-10143,2021-03-20,2021-03-28,2021-04-19,6960,P10143,2021-04-27,6960,P10143,6960,0
Factura,VENTA,F10144,C013,FOL-10144,2021-04-19,2021-04-28,2021-05-19,1470,P10144,2021-06-06,1470,P10144,1470,0
Factura,VENTA,F10145,C013,FOL-10145,2021-05-23,2021-05-28,2021-06-22,1226,P10145,2021-06-28,1226,P10145,1226,0
Factura,VENTA,F10146,C013,FOL-10146,2021-06-17,2021-06-28,2021-07-17,6125,P10146,,0,P10146,0,6125
Factura,VENTA,F10147,C013,FOL-10147,2021-07-14,2021-07-28,2021-08-13,2825,P10147,2021-08-08,2825,P10147,2825,0
Factura,VENTA,F10148,C013,FOL-10148,2021-08-15,2021-08-28,2021-09-14,2754,P10148,2021-09-30,2754,P10148,2754,0
Factura,VENTA,F10149,C013,FOL-10149,2021-09-13,2021-09-28,2021-10-13,5420,P10149,2021-10-22,5420,P10149,5420,0
Factura,VENTA,F10150,C013,FOL-10150,2021-10-16,2021-10-28,2021-11-15,3821,P10150,2021-11-29,3821,P10150,3821,0
Factura,VENTA,F10151,C013,FOL-10151,2021-11-12,2021-11-28,2021-12-12,2141,P10151,2021-12-10,2141,P10151,2141,0
Factura,VENTA,F10152,C013,FOL-10152,2021-12-11,2021-12-28,2022-01-10,3355,P10152,2022-01-17,3355,P10152,3355,0
Factura,VENTA,F10153,C013,FOL-10153,2022-01-16,2022-01-28,2022-02-15,6657,P10153,2022-02-28,6657,P10153,6657,0
Factura,VENTA,F10154,C014,FOL-10154,2023-07-03,2023-07-28,2023-08-02,6511,P10154,2023-08-18,6511,P10154,6511,0
Factura,VENTA,F10155,C014,FOL-10155,2023-08-02,2023-08-28,2023-09-01,5436,P10155,2023-09-07,5436,P10155,5436,0
Factura,VENTA,F10156,C014,FOL-10156,2023-09-08,2023-09-28,2023-10-08,4309,P10156,2023-10-05,4309,P10156,4309,0
Factura,VENTA,F10157,C014,FOL-10157,2023-10-08,2023-10-28,2023-11-07,6104,P10157,2023-11-15,6104,P10157,6104,0
Factura,VENTA,F10158,C014,FOL-10158,2023-11-06,2023-11-28,2023-12-06,1664,P10158,2023-12-12,1664,P10158,1664,0
Factura,VENTA,F10159,C014,FOL-10159,2023-12-06,2023-12-28,2024-01-05,6594,P10159,2024-01-05,6594,P10159,6594,0
Factura,VENTA,F10160,C014,FOL-10160,2024-01-06,2024-01-28,2024-02-05,6128,P10160,2024-02-25,6128,P10160,6128,0
Factura,VENTA,F10161,C014,FOL-10161,2024-02-05,2024-02-28,2024-03-06,4760,P10161,2024-03-24,4760,P10161,4760,0
Factura,VENTA,F10162,C014,FOL-10162,2024-03-02,2024-03-28,2024-04-01,3440,P10162,2024-03-29,3440,P10162,3440,0
Factura,VENTA,F10163,C014,FOL-10163,2024-04-01,2024-04-28,2024-05-01,4492,P10163,2024-05-10,4492,P10163,4492,0
Factura,VENTA,F10164,C014,FOL-10164,2024-05-03,2024-05-28,2024-06-02,3555,P10164,,0,P10164,0,3555
Factura,VENTA,F10165,C014,FOL-10165,2024-06-03,2024-06-28,2024-07-03,2537,P10165,2024-07-06,2537,P10165,2537,0
Factura,VENTA,F10166,C015,FOL-10166,2022-06-01,2022-06-28,2022-07-01,5683,P10166,2022-07-04,5683,P10166,5683,0
Factura,VENTA,F10167,C015,FOL-10167,2022-07-05,2022-07-28,2022-08-04,883,P10167,2022-08-05,883,P10167,883,0
Factura,VENTA,F10168,C015,FOL-10168,2022-07-28,2022-07-28,2022-08-27,2777,P10168,2022-09-06,2777,P10168,2777,0
Factura,VENTA,F10169,C015,FOL-10169,2022-09-03,2022-09-28,2022-10-03,2768,P10169,2022-10-18,2768,P10169,2768,0
Factura,VENTA,F10170,C015,FOL-10170,2022-10-02,2022-10-28,2022-11-01,4471,P10170,2022-10-29,4471,P10170,4471,0
Factura,VENTA,F10171,C015,FOL-10171,2022-10-29,2022-10-28,2022-11-28,2615,P10171,2022-11-30,2615,P10171,2615,0
Factura,VENTA,F10172,C015,FOL-10172,2022-11-28,2022-11-28,2022-12-28,6239,P10172,2023-01-07,6239,P10172,6239,0
Factura,VENTA,F10173,C015,FOL-10173,2023-01-01,2023-01-28,2023-01-31,5149,P10173,2023-02-18,5149,P10173,5149,0
Factura,VENTA,F10174,C015,FOL-10174,2023-01-31,2023-01-28,2023-03-02,3509,P10174,2023-03-11,3509,P10174,3509,0
Factura,VENTA,F10175,C015,FOL-10175,2023-02-26,2023-02-28,2023-03-28,3311,P10175,2023-03-26,3311,P10175,3311,0
Factura,VENTA,F10176,C015,FOL-10176,2023-03-27,2023-03-28,2023-04-26,3384,P10176,2023-05-08,3384,P10176,3384,0
Factura,VENTA,F10177,C015,FOL-10177,2023-04-25,2023-04-28,2023-05-25,2369,P10177,2023-06-04,2369,P10177,2369,0
Factura,VENTA,F10178,C016,FOL-10178,2023-02-22,2023-02-28,2023-03-24,5688,P10178,2023-03-22,5688,P10178,5688,0
Factura,VENTA,F10179,C016,FOL-10179,2023-03-19,2023-03-28,2023-04-18,3226,P10179,2023-04-18,3226,P10179,3226,0
Factura,VENTA,F10180,C016,FOL-10180,2023-04-19,2023-04-28,2023-05-19,915,P10180,2023-05-18,915,P10180,915,0
Factura,VENTA,F10181,C016,FOL-10181,2023-05-19,2023-05-28,2023-06-18,1172,P10181,2023-06-30,1172,P10181,1172,0
Factura,VENTA,F10182,C016,FOL-10182,2023-06-18,2023-06-28,2023-07-18,6513,P10182,2023-08-02,6513,P10182,6513,0
Factura,VENTA,F10183,C016,FOL-10183,2023-07-21,2023-07-28,2023-08-20,1640,P10183,2023-09-02,1640,P10183,1640,0
Factura,VENTA,F10184,C016,FOL-10184,2023-08-17,2023-08-28,2023-09-16,4645,P10184,2023-09-21,4645,P10184,4645,0
Factura,VENTA,F10185,C016,FOL-10185,2023-09-14,2023-09-28,2023-10-14,1220,P10185,2023-10-24,1220,P10185,1220,0
Factura,VENTA,F10186,C016,FOL-10186,2023-10-13,2023-10-28,2023-11-12,1335,P10186,2023-11-09,1335,P10186,1335,0
Factura,VENTA,F10187,C016,FOL-10187,2023-11-11,2023-11-28,2023-12-11,2042,P10187,2023-12-24,2042,P10187,2042,0
Factura,VENTA,F10188,C016,FOL-10188,2023-12-15,2023-12-28,2024-01-14,1497,P10188,2024-01-12,1497,P10188,1497,0
Factura,VENTA,F10189,C016,FOL-10189,2024-01-18,2024-01-28,2024-02-17,4209,P10189,2024-03-08,4209,P10189,4209,0
Factura,VENTA,F10190,C017,FOL-10190,2023-09-18,2023-09-28,2023-10-18,3916,P10190,2023-10-27,3916,P10190,3916,0
Factura,VENTA,F10191,C017,FOL-10191,2023-10-14,2023-10-28,2023-11-13,5621,P10191,2023-11-17,5621,P10191,5621,0
Factura,VENTA,F10192,C017,FOL-10192,2023-11-09,2023-11-28,2023-12-09,5794,P10192,2023-12-07,5794,P10192,5794,0
Factura,VENTA,F10193,C017,FOL-10193,2023-12-12,2023-12-28,2024-01-11,5924,P10193,2024-01-27,5924,P10193,5924,0
Factura,VENTA,F10194,C017,FOL-10194,2024-01-09,2024-01-28,2024-02-08,2086,P10194,2024-02-20,2086,P10194,2086,0
Factura,VENTA,F10195,C017,FOL-10195,2024-02-08,2024-02-28,2024-03-09,2082,P10195,2024-05-11,2082,P10195,2082,0
Factura,VENTA,F10196,C017,FOL-10196,2024-03-15,2024-03-28,2024-04-14,3185,P10196,2024-06-06,3185,P10196,3185,0
Factura,VENTA,F10197,C017,FOL-10197,2024-04-14,2024-04-28,2024-05-14,1383,P10197,2024-05-17,1383,P10197,1383,0
